marca,capacidade,avaliacao_energia,tipo,funcionalidades,cores,material,periodo_garantia,pais_fabricacao,preco,mediana_capacidade
Panasonic,758.0,A+,Single Door,Ice Dispenser,White,Stainless Steel,6.0,USA,1612.0,430.0
GE,451.0,A++,Single Door,Smart Connectivity,Gray,Stainless Steel,9.0,USA,409.0,446.0
Electrolux,583.0,A+,Single Door,Smart Connectivity,Gray,Stainless Steel,8.0,China,758.0,461.0
Haier,576.0,A,Single Door,Water Dispenser,Black,Glass,7.0,China,555.0,469.0
LG,526.0,A+,Single Door,Smart Connectivity,Silver,Plastic,9.0,China,1626.0,453.0
LG,451.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,India,516.0,465.0
Panasonic,633.0,A++,Double Door,Water Dispenser,Black,Plastic,7.0,USA,1641.0,469.0
Siemens,668.0,A+,Side-by-Side,Ice Dispenser,Gray,Plastic,6.0,USA,1780.0,455.0
Siemens,295.0,B,Side-by-Side,Smart Connectivity,Black,Glass,5.0,China,1828.0,450.5
Siemens,794.0,A,Single Door,Smart Connectivity,Gray,Plastic,8.0,USA,375.0,476.0
GE,435.0,A++,Single Door,Smart Connectivity,Gray,Glass,6.0,China,1730.0,446.0
Siemens,516.0,B,Double Door,Smart Connectivity,Silver,Glass,5.0,India,1095.0,450.5
Whirlpool,618.0,A+,Single Door,Smart Connectivity,Silver,Plastic,6.0,India,887.0,479.0
Bosch,434.0,A+,Double Door,Smart Connectivity,White,Stainless Steel,6.0,India,1300.0,446.5
Siemens,776.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,9.0,USA,517.0,450.5
GE,425.0,A+,Single Door,Ice Dispenser,Black,Stainless Steel,6.0,Germany,1088.0,403.0
Haier,451.0,A+,Single Door,Water Dispenser,Black,Plastic,4.0,China,215.0,444.0
Whirlpool,117.0,B,Single Door,Smart Connectivity,Gray,Plastic,8.0,India,1350.0,461.0
Electrolux,101.0,A,Double Door,Ice Dispenser,White,Stainless Steel,2.0,China,221.0,458.0
Panasonic,510.0,B,Single Door,Smart Connectivity,Black,Glass,3.0,China,1990.0,466.0
Electrolux,455.0,A+,Double Door,Smart Connectivity,Silver,Plastic,8.0,Germany,473.0,461.0
GE,394.0,B,Double Door,Ice Dispenser,White,Plastic,6.0,India,335.0,471.0
Siemens,275.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,USA,1416.0,476.0
Siemens,471.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,4.0,Germany,777.0,450.5
Frigidaire,784.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,China,1381.0,446.5
GE,484.0,A+,Double Door,Ice Dispenser,Black,Stainless Steel,2.0,China,352.0,403.0
Whirlpool,489.0,B,Single Door,Ice Dispenser,Gray,Plastic,6.0,Germany,282.0,461.0
Haier,795.0,A,Double Door,Smart Connectivity,Silver,Glass,3.0,China,653.0,469.0
Samsung,415.0,A,Single Door,Smart Connectivity,White,Plastic,2.0,India,1925.0,440.0
Panasonic,311.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,3.0,China,554.0,469.0
Siemens,514.0,A+,Side-by-Side,Water Dispenser,Gray,Glass,4.0,India,1563.0,455.0
Bosch,496.0,A++,Double Door,Smart Connectivity,Silver,Glass,5.0,China,972.0,441.5
Panasonic,239.0,A,Side-by-Side,Ice Dispenser,White,Stainless Steel,4.0,USA,1914.0,463.0
Electrolux,748.0,A+,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,3.0,USA,1519.0,461.0
Electrolux,584.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,8.0,India,860.0,431.5
Electrolux,134.0,A++,Single Door,Smart Connectivity,Black,Glass,3.0,China,1619.0,431.0
Haier,758.0,A++,Double Door,Smart Connectivity,White,Plastic,2.0,Germany,529.0,434.5
Electrolux,400.0,A+,Single Door,Smart Connectivity,Silver,Glass,2.0,Germany,230.0,461.0
Whirlpool,559.0,A+,Single Door,Ice Dispenser,Silver,Glass,9.0,India,1088.0,479.0
Samsung,520.0,B,Double Door,Smart Connectivity,Gray,Glass,1.0,China,756.0,447.0
Whirlpool,645.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,2.0,Germany,330.0,461.0
Electrolux,689.0,A,Side-by-Side,Water Dispenser,Silver,Stainless Steel,1.0,China,1442.0,458.0
Electrolux,136.0,A++,Single Door,Water Dispenser,White,Plastic,4.0,India,207.0,431.0
Haier,552.0,A++,Single Door,Water Dispenser,White,Stainless Steel,4.0,China,899.0,434.5
LG,607.0,A++,Single Door,Smart Connectivity,Silver,Stainless Steel,8.0,Germany,1627.0,465.0
Siemens,711.0,A,Single Door,Smart Connectivity,Black,Stainless Steel,2.0,India,1332.0,476.0
LG,690.0,A++,Single Door,Water Dispenser,White,Glass,6.0,China,960.0,465.0
GE,383.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,2.0,China,1342.0,447.0
Electrolux,342.0,A++,Side-by-Side,Ice Dispenser,Black,Stainless Steel,7.0,India,1845.0,431.0
Bosch,178.0,A,Single Door,Smart Connectivity,Gray,Plastic,2.0,India,1892.0,424.0
Whirlpool,326.0,A+,Side-by-Side,Water Dispenser,Gray,Stainless Steel,9.0,USA,301.0,479.0
Frigidaire,503.0,A+,Single Door,Smart Connectivity,Gray,Plastic,8.0,Germany,1249.0,446.5
Haier,215.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,6.0,USA,1494.0,440.0
Frigidaire,206.0,B,Side-by-Side,Water Dispenser,Gray,Glass,7.0,Germany,392.0,429.5
Siemens,404.0,A++,Single Door,Smart Connectivity,Gray,Plastic,8.0,India,1067.0,469.0
Haier,798.0,A++,Double Door,Water Dispenser,Silver,Glass,9.0,China,288.0,434.5
Samsung,339.0,A++,Double Door,Ice Dispenser,Silver,Plastic,8.0,India,352.0,452.0
Panasonic,451.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,9.0,USA,346.0,466.0
GE,166.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,1.0,China,1711.0,471.0
Siemens,208.0,A+,Double Door,Ice Dispenser,White,Stainless Steel,3.0,China,850.0,455.0
Electrolux,715.0,A,Double Door,Smart Connectivity,White,Plastic,5.0,India,1819.0,458.0
Siemens,737.0,A++,Double Door,Smart Connectivity,White,Glass,6.0,India,497.0,469.0
LG,287.0,A,Single Door,Water Dispenser,White,Glass,8.0,China,636.0,458.0
Whirlpool,585.0,A,Single Door,Water Dispenser,Black,Plastic,3.0,China,1370.0,457.5
Haier,571.0,A,Single Door,Smart Connectivity,Black,Plastic,7.0,USA,499.0,469.0
Haier,323.0,B,Single Door,Smart Connectivity,Silver,Plastic,8.0,Germany,663.0,440.0
Samsung,236.0,A,Double Door,Water Dispenser,Gray,Plastic,8.0,USA,325.0,440.0
Haier,535.0,A+,Double Door,Ice Dispenser,Black,Stainless Steel,1.0,China,461.0,444.0
Siemens,779.0,B,Double Door,Smart Connectivity,Gray,Plastic,4.0,China,776.0,450.5
LG,557.0,B,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,USA,1517.0,431.0
Haier,112.0,A+,Double Door,Smart Connectivity,Black,Glass,1.0,China,1687.0,444.0
GE,763.0,B,Double Door,Ice Dispenser,Silver,Plastic,3.0,China,1378.0,471.0
Whirlpool,469.0,A,Side-by-Side,Water Dispenser,Black,Stainless Steel,8.0,India,247.0,457.5
Samsung,354.0,B,Double Door,Smart Connectivity,Silver,Plastic,5.0,India,1610.0,447.0
Frigidaire,261.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,2.0,China,1890.0,446.5
Panasonic,711.0,A++,Single Door,Water Dispenser,Silver,Plastic,1.0,India,1671.0,469.0
Whirlpool,226.0,A,Single Door,Ice Dispenser,Silver,Plastic,8.0,China,336.0,457.5
Electrolux,608.0,A++,Double Door,Ice Dispenser,White,Plastic,4.0,China,1391.0,431.0
Haier,320.0,A,Single Door,Ice Dispenser,Black,Plastic,7.0,Germany,948.0,469.0
Haier,536.0,B,Single Door,Ice Dispenser,Black,Plastic,8.0,China,1829.0,440.0
Samsung,325.0,A++,Double Door,Smart Connectivity,Black,Glass,2.0,India,1099.0,452.0
Samsung,511.0,A+,Side-by-Side,Water Dispenser,Gray,Glass,4.0,China,1099.0,458.0
Haier,256.0,A++,Single Door,Ice Dispenser,Black,Glass,5.0,Germany,1079.0,434.5
Bosch,352.0,A++,Single Door,Smart Connectivity,White,Glass,1.0,China,417.0,441.5
LG,713.0,B,Side-by-Side,Smart Connectivity,Silver,Plastic,1.0,Germany,610.0,431.0
LG,385.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,7.0,China,1288.0,431.0
Samsung,607.0,A+,Single Door,Smart Connectivity,Silver,Plastic,6.0,China,343.0,458.0
GE,451.0,A++,Double Door,Ice Dispenser,Gray,Stainless Steel,7.0,Germany,1718.0,446.0
Samsung,578.0,B,Single Door,Smart Connectivity,Gray,Plastic,4.0,China,430.0,447.0
GE,451.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,6.0,India,582.0,471.0
Bosch,505.0,B,Side-by-Side,Smart Connectivity,White,Plastic,4.0,USA,672.0,434.5
LG,636.0,B,Double Door,Smart Connectivity,Black,Plastic,4.0,China,320.0,431.0
Frigidaire,429.5,B,Single Door,Smart Connectivity,Gray,Plastic,9.0,China,308.0,429.5
GE,106.0,B,Single Door,Smart Connectivity,Black,Glass,9.0,Germany,1946.0,471.0
GE,122.0,A+,Single Door,Smart Connectivity,White,Plastic,8.0,Germany,601.0,403.0
Samsung,271.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,China,788.0,440.0
Whirlpool,404.0,A+,Side-by-Side,Smart Connectivity,White,Stainless Steel,5.0,USA,1350.0,479.0
Frigidaire,423.0,A++,Double Door,Smart Connectivity,Silver,Stainless Steel,5.0,USA,1891.0,436.0
Panasonic,775.0,A++,Double Door,Water Dispenser,White,Glass,5.0,Germany,475.0,469.0
Bosch,630.0,A+,Side-by-Side,Ice Dispenser,Gray,Glass,1.0,China,1176.0,446.5
Whirlpool,528.0,A,Double Door,Smart Connectivity,Gray,Glass,8.0,India,1859.0,457.5
Haier,662.0,B,Side-by-Side,Smart Connectivity,Black,Stainless Steel,9.0,India,1615.0,440.0
Samsung,340.0,A++,Side-by-Side,Smart Connectivity,White,Glass,6.0,China,861.0,452.0
GE,735.0,A+,Single Door,Water Dispenser,Black,Plastic,5.0,China,242.0,403.0
Haier,382.0,A,Side-by-Side,Water Dispenser,White,Glass,4.0,USA,444.0,469.0
Frigidaire,728.0,B,Double Door,Smart Connectivity,Silver,Plastic,3.0,India,535.0,429.5
Frigidaire,134.0,B,Single Door,Smart Connectivity,White,Glass,1.0,USA,1840.0,429.5
Whirlpool,452.0,B,Double Door,Water Dispenser,White,Glass,2.0,China,318.0,461.0
Frigidaire,619.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,3.0,USA,1294.0,429.5
Frigidaire,404.0,A++,Double Door,Smart Connectivity,White,Plastic,9.0,China,524.0,436.0
Frigidaire,520.0,B,Single Door,Smart Connectivity,Black,Glass,5.0,USA,373.0,429.5
Panasonic,718.0,A,Single Door,Smart Connectivity,Gray,Plastic,6.0,USA,1099.0,463.0
Whirlpool,471.0,A,Side-by-Side,Smart Connectivity,Gray,Glass,2.0,USA,1233.0,457.5
Frigidaire,234.0,B,Double Door,Smart Connectivity,Black,Stainless Steel,1.0,India,1637.0,429.5
Bosch,166.0,A,Single Door,Ice Dispenser,White,Stainless Steel,9.0,China,216.0,424.0
Bosch,741.0,A+,Double Door,Smart Connectivity,Black,Plastic,5.0,India,929.0,446.5
Whirlpool,328.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,4.0,Germany,1977.0,416.5
Samsung,502.0,A,Double Door,Smart Connectivity,White,Stainless Steel,3.0,China,376.0,440.0
Panasonic,141.0,B,Single Door,Water Dispenser,White,Plastic,9.0,India,620.0,466.0
LG,501.0,A,Side-by-Side,Smart Connectivity,Silver,Glass,5.0,India,866.0,458.0
Samsung,182.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,9.0,China,1010.0,440.0
Panasonic,275.0,A++,Single Door,Ice Dispenser,White,Stainless Steel,6.0,USA,1670.0,469.0
Panasonic,379.0,B,Single Door,Ice Dispenser,White,Plastic,5.0,India,730.0,466.0
Whirlpool,704.0,A+,Double Door,Ice Dispenser,Black,Glass,4.0,China,1641.0,479.0
Haier,287.0,A+,Double Door,Smart Connectivity,Gray,Glass,5.0,Germany,993.0,444.0
Haier,546.0,B,Single Door,Smart Connectivity,Black,Plastic,9.0,Germany,1513.0,440.0
Samsung,778.0,A+,Side-by-Side,Ice Dispenser,White,Stainless Steel,5.0,Germany,1155.0,458.0
Samsung,750.0,A,Single Door,Smart Connectivity,Silver,Stainless Steel,9.0,Germany,533.0,440.0
Frigidaire,436.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,8.0,Germany,1634.0,440.5
GE,291.0,A,Double Door,Smart Connectivity,Silver,Glass,2.0,China,1839.0,447.0
Bosch,258.0,A,Side-by-Side,Water Dispenser,Gray,Stainless Steel,7.0,China,680.0,424.0
Whirlpool,677.0,A+,Double Door,Smart Connectivity,Gray,Stainless Steel,5.0,USA,1917.0,479.0
Siemens,506.0,B,Double Door,Smart Connectivity,White,Plastic,5.0,China,1950.0,450.5
Samsung,233.0,B,Single Door,Smart Connectivity,Silver,Glass,3.0,China,651.0,447.0
Bosch,294.0,A,Side-by-Side,Ice Dispenser,Black,Glass,6.0,Germany,1821.0,424.0
Whirlpool,583.0,A++,Single Door,Ice Dispenser,Gray,Stainless Steel,2.0,India,1916.0,416.5
Frigidaire,278.0,B,Double Door,Ice Dispenser,Black,Glass,9.0,Germany,1126.0,429.5
Bosch,183.0,A+,Single Door,Ice Dispenser,White,Plastic,5.0,China,1136.0,446.5
Frigidaire,654.0,A,Double Door,Ice Dispenser,White,Plastic,2.0,India,1099.0,440.5
LG,564.0,A++,Side-by-Side,Smart Connectivity,Silver,Glass,3.0,China,734.0,465.0
LG,497.0,A+,Single Door,Smart Connectivity,Gray,Plastic,6.0,India,1633.0,453.0
Whirlpool,185.0,A++,Single Door,Water Dispenser,Gray,Plastic,1.0,Germany,985.0,416.5
Frigidaire,778.0,A+,Single Door,Smart Connectivity,Gray,Glass,1.0,China,1357.0,446.5
Frigidaire,568.0,A+,Single Door,Smart Connectivity,Black,Stainless Steel,5.0,China,751.0,446.5
Samsung,528.0,A++,Single Door,Smart Connectivity,Silver,Plastic,9.0,India,975.0,452.0
Bosch,344.0,A,Side-by-Side,Ice Dispenser,White,Stainless Steel,5.0,Germany,1823.0,424.0
Electrolux,382.0,A,Double Door,Ice Dispenser,Black,Stainless Steel,5.0,China,1970.0,458.0
Samsung,333.0,B,Double Door,Water Dispenser,Black,Stainless Steel,7.0,USA,1362.0,447.0
GE,359.0,A+,Single Door,Smart Connectivity,Black,Stainless Steel,6.0,Germany,950.0,403.0
Samsung,483.0,A+,Single Door,Ice Dispenser,White,Plastic,4.0,Germany,1936.0,458.0
Bosch,780.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,8.0,USA,1013.0,446.5
Bosch,737.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,India,1640.0,434.5
GE,584.0,A++,Side-by-Side,Smart Connectivity,White,Glass,8.0,India,347.0,446.0
Siemens,628.0,A,Single Door,Smart Connectivity,Gray,Stainless Steel,1.0,USA,560.0,476.0
Whirlpool,463.0,B,Single Door,Smart Connectivity,Gray,Glass,7.0,China,1005.0,461.0
Electrolux,448.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,8.0,USA,723.0,461.0
Electrolux,613.0,A+,Side-by-Side,Water Dispenser,White,Plastic,7.0,USA,827.0,461.0
Whirlpool,603.0,A+,Double Door,Smart Connectivity,White,Plastic,6.0,Germany,1631.0,479.0
GE,474.0,B,Double Door,Ice Dispenser,White,Plastic,8.0,Germany,1099.0,471.0
GE,766.0,A++,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,USA,1214.0,446.0
Siemens,724.0,A++,Side-by-Side,Water Dispenser,Black,Glass,4.0,China,1893.0,469.0
Frigidaire,341.0,A++,Single Door,Smart Connectivity,Silver,Plastic,5.0,China,739.0,436.0
LG,203.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,5.0,India,1727.0,431.0
Whirlpool,166.0,B,Double Door,Smart Connectivity,Black,Stainless Steel,3.0,India,840.0,461.0
Electrolux,373.0,B,Side-by-Side,Ice Dispenser,Black,Glass,1.0,India,1018.0,431.5
Samsung,153.0,B,Single Door,Smart Connectivity,Silver,Glass,9.0,USA,475.0,447.0
Frigidaire,379.0,A,Side-by-Side,Ice Dispenser,Black,Stainless Steel,5.0,China,1690.0,440.5
Frigidaire,761.0,B,Side-by-Side,Water Dispenser,Silver,Stainless Steel,5.0,India,211.0,429.5
Frigidaire,451.0,A+,Double Door,Smart Connectivity,Silver,Plastic,9.0,India,1593.0,446.5
Siemens,176.0,A+,Single Door,Ice Dispenser,Black,Plastic,6.0,India,1220.0,455.0
Haier,652.0,A+,Side-by-Side,Smart Connectivity,White,Plastic,1.0,China,401.0,444.0
Panasonic,441.0,A++,Double Door,Smart Connectivity,Black,Plastic,1.0,China,1106.0,469.0
Siemens,114.0,A+,Side-by-Side,Smart Connectivity,White,Glass,9.0,USA,900.0,455.0
Whirlpool,362.0,A++,Side-by-Side,Smart Connectivity,White,Plastic,6.0,China,816.0,416.5
GE,771.0,A++,Double Door,Water Dispenser,White,Plastic,9.0,India,624.0,446.0
GE,123.0,B,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,5.0,India,1099.0,471.0
Electrolux,624.0,A+,Single Door,Smart Connectivity,Black,Plastic,9.0,China,468.0,461.0
Bosch,416.0,A++,Double Door,Ice Dispenser,Black,Plastic,3.0,India,1099.0,441.5
Haier,510.0,A,Single Door,Smart Connectivity,Gray,Plastic,5.0,India,1517.0,469.0
Siemens,532.0,A+,Double Door,Water Dispenser,Silver,Stainless Steel,7.0,India,931.0,455.0
Br@ndX,264.0,A++,Single Door,Smart Connectivity,Gray,Glass,1.0,India,1515.0,368.0
Electrolux,634.0,A+,Double Door,Water Dispenser,Silver,Plastic,2.0,India,998.0,461.0
Bosch,172.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,3.0,China,240.0,441.5
LG,722.0,B,Double Door,Smart Connectivity,Black,Stainless Steel,9.0,Germany,400.0,431.0
Samsung,393.0,A,Double Door,Ice Dispenser,White,Glass,3.0,Germany,523.0,440.0
LG,562.0,A+,Double Door,Smart Connectivity,White,Plastic,1.0,India,597.0,453.0
Siemens,392.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,8.0,Germany,1306.0,476.0
Siemens,357.0,A+,Single Door,Smart Connectivity,Gray,Plastic,9.0,Germany,1143.0,455.0
Siemens,255.0,A++,Double Door,Ice Dispenser,White,Stainless Steel,2.0,Germany,319.0,469.0
Panasonic,681.0,B,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,Germany,845.0,466.0
LG,789.0,A++,Single Door,Smart Connectivity,White,Stainless Steel,8.0,China,921.0,465.0
Haier,648.0,A++,Double Door,Smart Connectivity,Black,Plastic,5.0,India,1629.0,434.5
Samsung,564.0,A+,Single Door,Smart Connectivity,White,Plastic,4.0,India,1478.0,458.0
Electrolux,413.0,B,Double Door,Ice Dispenser,Silver,Plastic,3.0,USA,290.0,431.5
Bosch,349.0,A++,Side-by-Side,Smart Connectivity,Black,Glass,4.0,Germany,1397.0,441.5
Whirlpool,198.0,B,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,7.0,China,1077.0,461.0
Haier,548.0,A,Double Door,Smart Connectivity,Black,Glass,8.0,USA,1076.0,469.0
Panasonic,330.0,B,Single Door,Smart Connectivity,White,Plastic,1.0,China,828.0,466.0
Frigidaire,675.0,B,Double Door,Smart Connectivity,Silver,Glass,8.0,China,981.0,429.5
Siemens,303.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,7.0,India,617.0,450.5
Haier,608.0,A,Double Door,Water Dispenser,Gray,Plastic,4.0,China,1791.0,469.0
Br@ndX,109.0,B,Single Door,Smart Connectivity,Gray,Plastic,5.0,Germany,894.0,487.0
Siemens,464.0,A,Side-by-Side,Ice Dispenser,Gray,Glass,6.0,India,1734.0,476.0
Panasonic,339.0,A++,Single Door,Smart Connectivity,Gray,Stainless Steel,7.0,India,737.0,469.0
Siemens,523.0,B,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,6.0,Germany,1661.0,450.5
Siemens,613.0,A+,Single Door,Smart Connectivity,Silver,Glass,9.0,Germany,723.0,455.0
Frigidaire,738.0,A,Side-by-Side,Water Dispenser,White,Glass,5.0,USA,1759.0,440.5
Siemens,609.0,A+,Side-by-Side,Ice Dispenser,White,Plastic,9.0,USA,1416.0,455.0
Electrolux,222.0,A+,Side-by-Side,Ice Dispenser,Silver,Plastic,3.0,China,1638.0,461.0
Frigidaire,248.0,A+,Side-by-Side,Smart Connectivity,Gray,Plastic,3.0,India,1956.0,446.5
LG,129.0,B,Single Door,Water Dispenser,Black,Stainless Steel,6.0,Germany,332.0,431.0
LG,524.0,A++,Single Door,Smart Connectivity,Gray,Glass,8.0,USA,1672.0,465.0
Frigidaire,759.0,B,Single Door,Smart Connectivity,Black,Glass,7.0,USA,479.0,429.5
Panasonic,108.0,A,Double Door,Smart Connectivity,Gray,Plastic,4.0,China,275.0,463.0
Panasonic,451.0,A+,Single Door,Ice Dispenser,Black,Glass,2.0,China,1791.0,430.0
Whirlpool,545.0,A+,Side-by-Side,Water Dispenser,Black,Plastic,4.0,Germany,539.0,479.0
LG,183.0,A++,Single Door,Ice Dispenser,Black,Plastic,3.0,China,424.0,465.0
Electrolux,341.0,B,Side-by-Side,Ice Dispenser,Black,Glass,6.0,India,1975.0,431.5
Bosch,694.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,7.0,Germany,1444.0,434.5
Siemens,350.0,B,Double Door,Smart Connectivity,Black,Stainless Steel,5.0,Germany,922.0,450.5
LG,183.0,B,Double Door,Water Dispenser,White,Stainless Steel,2.0,China,1981.0,431.0
Siemens,778.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,6.0,China,943.0,450.5
Samsung,389.0,A+,Double Door,Water Dispenser,Black,Glass,2.0,China,926.0,458.0
Bosch,221.0,B,Single Door,Smart Connectivity,White,Glass,1.0,China,1906.0,434.5
GE,328.0,A++,Double Door,Smart Connectivity,White,Glass,9.0,India,1274.0,446.0
Siemens,451.0,A,Double Door,Water Dispenser,White,Plastic,5.0,Germany,219.0,476.0
LG,406.0,B,Single Door,Smart Connectivity,Gray,Glass,5.0,USA,1836.0,431.0
Bosch,270.0,A,Double Door,Smart Connectivity,Silver,Plastic,2.0,Germany,1872.0,424.0
Frigidaire,746.0,A++,Double Door,Ice Dispenser,Silver,Plastic,3.0,China,1899.0,436.0
Frigidaire,495.0,A++,Side-by-Side,Smart Connectivity,Silver,Glass,9.0,India,430.0,436.0
Electrolux,601.0,A+,Side-by-Side,Smart Connectivity,White,Stainless Steel,8.0,India,1442.0,461.0
LG,239.0,A+,Side-by-Side,Water Dispenser,Black,Stainless Steel,7.0,India,410.0,453.0
Siemens,554.0,A+,Single Door,Smart Connectivity,Silver,Plastic,5.0,Germany,1790.0,455.0
Bosch,451.0,B,Single Door,Ice Dispenser,Black,Stainless Steel,4.0,Germany,1042.0,434.5
Samsung,341.0,B,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,7.0,USA,278.0,447.0
Frigidaire,356.0,A,Double Door,Water Dispenser,Gray,Plastic,5.0,China,976.0,440.5
LG,667.0,A,Single Door,Smart Connectivity,Silver,Plastic,1.0,USA,1923.0,458.0
Bosch,656.0,A,Single Door,Smart Connectivity,Black,Stainless Steel,4.0,USA,434.0,424.0
Frigidaire,612.0,A++,Single Door,Smart Connectivity,Silver,Stainless Steel,1.0,China,1231.0,436.0
Electrolux,789.0,B,Single Door,Ice Dispenser,Gray,Plastic,5.0,China,657.0,431.5
Haier,113.0,A++,Single Door,Ice Dispenser,Gray,Plastic,4.0,USA,374.0,434.5
Samsung,770.0,A,Double Door,Ice Dispenser,Black,Plastic,6.0,China,1616.0,440.0
Haier,793.0,A+,Double Door,Smart Connectivity,Black,Plastic,3.0,China,1616.0,444.0
Electrolux,100.0,A++,Side-by-Side,Ice Dispenser,White,Stainless Steel,9.0,India,1531.0,431.0
Panasonic,795.0,B,Single Door,Ice Dispenser,Black,Glass,9.0,India,1157.0,466.0
Bosch,239.0,A,Double Door,Smart Connectivity,Black,Plastic,5.0,Germany,1053.0,424.0
LG,225.0,B,Double Door,Smart Connectivity,Silver,Stainless Steel,8.0,USA,261.0,431.0
GE,239.0,B,Single Door,Smart Connectivity,Black,Stainless Steel,2.0,USA,1225.0,471.0
Siemens,285.0,B,Double Door,Ice Dispenser,Black,Plastic,7.0,India,299.0,450.5
Frigidaire,589.0,A,Single Door,Smart Connectivity,Silver,Plastic,9.0,India,354.0,440.5
Siemens,600.0,A++,Side-by-Side,Smart Connectivity,White,Plastic,1.0,Germany,265.0,469.0
Frigidaire,730.0,A,Double Door,Smart Connectivity,Silver,Glass,2.0,India,525.0,440.5
Bosch,156.0,B,Single Door,Smart Connectivity,Silver,Glass,3.0,Germany,1213.0,434.5
LG,188.0,A+,Single Door,Water Dispenser,Gray,Plastic,7.0,China,937.0,453.0
Bosch,186.0,B,Double Door,Water Dispenser,White,Stainless Steel,7.0,USA,1040.0,434.5
Haier,648.0,B,Double Door,Smart Connectivity,Gray,Plastic,8.0,Germany,686.0,440.0
Haier,357.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,6.0,India,1125.0,469.0
Samsung,185.0,A++,Double Door,Smart Connectivity,Black,Plastic,7.0,China,1131.0,452.0
Frigidaire,451.0,A+,Double Door,Smart Connectivity,Silver,Stainless Steel,4.0,India,446.0,446.5
Frigidaire,440.0,A,Single Door,Ice Dispenser,Silver,Plastic,5.0,China,1099.0,440.5
Samsung,546.0,B,Double Door,Water Dispenser,Gray,Plastic,5.0,USA,1592.0,447.0
Electrolux,100.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,4.0,China,1720.0,458.0
Bosch,600.0,B,Double Door,Water Dispenser,Gray,Plastic,2.0,Germany,721.0,434.5
Haier,310.0,A++,Single Door,Smart Connectivity,Gray,Plastic,2.0,Germany,414.0,434.5
Siemens,602.0,A++,Double Door,Ice Dispenser,Black,Glass,3.0,Germany,422.0,469.0
Panasonic,548.0,A+,Side-by-Side,Smart Connectivity,White,Stainless Steel,2.0,USA,1850.0,430.0
Electrolux,498.0,A++,Side-by-Side,Smart Connectivity,Black,Glass,2.0,India,296.0,431.0
Haier,246.0,A+,Side-by-Side,Water Dispenser,Gray,Plastic,4.0,China,1843.0,444.0
LG,102.0,B,Single Door,Smart Connectivity,Gray,Glass,1.0,India,1226.0,431.0
GE,451.0,A,Single Door,Water Dispenser,White,Glass,7.0,USA,1099.0,447.0
Bosch,448.0,B,Single Door,Smart Connectivity,Gray,Stainless Steel,5.0,China,866.0,434.5
Electrolux,738.0,B,Single Door,Smart Connectivity,Gray,Stainless Steel,4.0,China,495.0,431.5
Panasonic,599.0,A++,Side-by-Side,Water Dispenser,Gray,Stainless Steel,7.0,Germany,1433.0,469.0
Bosch,578.0,A+,Double Door,Ice Dispenser,White,Stainless Steel,2.0,India,1085.0,446.5
Bosch,757.0,A,Single Door,Ice Dispenser,Silver,Plastic,5.0,Germany,1038.0,424.0
Whirlpool,725.0,B,Side-by-Side,Smart Connectivity,Silver,Glass,7.0,China,1511.0,461.0
